Company Name,Date,Close
,1/2/2018 16:00:00,17.98
,1/3/2018 16:00:00,18.15
,1/4/2018 16:00:00,18.53
,1/5/2018 16:00:00,18.54
,1/8/2018 16:00:00,18.28
,1/9/2018 16:00:00,18.56
,1/10/2018 16:00:00,18.93
,1/11/2018 16:00:00,19.02
,1/12/2018 16:00:00,18.76
,1/16/2018 16:00:00,18.21
,1/17/2018 16:00:00,17.35
,1/18/2018 16:00:00,16.77
,1/19/2018 16:00:00,16.26
,1/22/2018 16:00:00,16.17
,1/23/2018 16:00:00,16.89
,1/24/2018 16:00:00,16.44
,1/25/2018 16:00:00,16.18
,1/26/2018 16:00:00,16.13
,1/29/2018 16:00:00,16.28
,1/30/2018 16:00:00,15.95
,1/31/2018 16:00:00,16.17
,2/1/2018 16:00:00,16.02
,2/2/2018 16:00:00,15.64
,2/5/2018 16:00:00,14.91
,2/6/2018 16:00:00,15.27
,2/7/2018 16:00:00,15.25
,2/8/2018 16:00:00,14.45
,2/9/2018 16:00:00,14.94
,2/12/2018 16:00:00,14.82
,2/13/2018 16:00:00,14.67
,2/14/2018 16:00:00,14.9
,2/15/2018 16:00:00,14.85
,2/16/2018 16:00:00,15.05
,2/20/2018 16:00:00,14.74
,2/21/2018 16:00:00,14.49
,2/22/2018 16:00:00,14.62
,2/23/2018 16:00:00,14.49
,2/26/2018 16:00:00,14.65
,2/27/2018 16:00:00,14.5
,2/28/2018 16:00:00,14.11
,3/1/2018 16:00:00,14.02
,3/2/2018 16:00:00,14.12
,3/5/2018 16:00:00,14.42
,3/6/2018 16:00:00,14.64
,3/7/2018 16:00:00,14.51
,3/8/2018 16:00:00,14.52
,3/9/2018 16:00:00,14.94
,3/12/2018 16:00:00,15.1
,3/13/2018 16:00:00,14.43
,3/14/2018 16:00:00,14.27
,3/15/2018 16:00:00,14.36
,3/16/2018 16:00:00,14.31
,3/19/2018 16:00:00,14.07
,3/20/2018 16:00:00,13.64
,3/21/2018 16:00:00,13.88
,3/22/2018 16:00:00,13.35
,3/23/2018 16:00:00,13.07
,3/26/2018 16:00:00,12.89
,3/27/2018 16:00:00,13.44
,3/28/2018 16:00:00,13.68
,3/29/2018 16:00:00,13.48
,4/2/2018 16:00:00,13.12
,4/3/2018 16:00:00,13.13
,4/4/2018 16:00:00,13.28
,4/5/2018 16:00:00,13.43
,4/6/2018 16:00:00,13.06
,4/9/2018 16:00:00,12.83
,4/10/2018 16:00:00,13.05
,4/11/2018 16:00:00,12.97
,4/12/2018 16:00:00,13.18
,4/13/2018 16:00:00,13.49
,4/16/2018 16:00:00,13.33
,4/17/2018 16:00:00,13.79
,4/18/2018 16:00:00,13.66
,4/19/2018 16:00:00,13.99
,4/20/2018 16:00:00,14.54
,4/23/2018 16:00:00,14.52
,4/24/2018 16:00:00,14.68
,4/25/2018 16:00:00,14.05
,4/26/2018 16:00:00,14.38
,4/27/2018 16:00:00,14.38
,4/30/2018 16:00:00,14.07
,5/1/2018 16:00:00,14.05
,5/2/2018 16:00:00,14.18
,5/3/2018 16:00:00,13.93
,5/4/2018 16:00:00,14.1
,5/7/2018 16:00:00,14.07
,5/8/2018 16:00:00,14.27
,5/9/2018 16:00:00,14.62
,5/10/2018 16:00:00,14.69
,5/11/2018 16:00:00,14.6
,5/14/2018 16:00:00,14.71
,5/15/2018 16:00:00,14.71
,5/16/2018 16:00:00,15.03
,5/17/2018 16:00:00,15.03
,5/18/2018 16:00:00,14.97
,5/21/2018 16:00:00,15.26
,5/22/2018 16:00:00,15.29
,5/23/2018 16:00:00,14.18
,5/24/2018 16:00:00,14.6
,5/25/2018 16:00:00,14.63
,5/29/2018 16:00:00,14.18
,5/30/2018 16:00:00,14.17
,5/31/2018 16:00:00,14.08
,6/1/2018 16:00:00,14.1
,6/4/2018 16:00:00,13.71
,6/5/2018 16:00:00,13.8
,6/6/2018 16:00:00,13.64
,6/7/2018 16:00:00,13.78
,6/8/2018 16:00:00,13.93
,6/11/2018 16:00:00,13.98
,6/12/2018 16:00:00,13.98
,6/13/2018 16:00:00,13.89
,6/14/2018 16:00:00,13.64
,6/15/2018 16:00:00,13.3
,6/18/2018 16:00:00,13.2
,6/19/2018 16:00:00,12.95
,6/20/2018 16:00:00,12.88
,6/21/2018 16:00:00,12.76
,6/22/2018 16:00:00,13.05
,6/25/2018 16:00:00,12.75
,6/26/2018 16:00:00,13.74
,6/27/2018 16:00:00,13.96
,6/28/2018 16:00:00,13.83
,6/29/2018 16:00:00,13.61
,7/2/2018 16:00:00,13.37
,7/3/2018 13:00:00,13.37
,7/5/2018 16:00:00,13.43
,7/6/2018 16:00:00,13.85
,7/9/2018 16:00:00,13.95
,7/10/2018 16:00:00,14.17
,7/11/2018 16:00:00,13.99
,7/12/2018 16:00:00,13.99
,7/13/2018 16:00:00,13.89
,7/16/2018 16:00:00,13.9
,7/17/2018 16:00:00,13.69
,7/18/2018 16:00:00,13.75
,7/19/2018 16:00:00,13.73
,7/20/2018 16:00:00,13.12
,7/23/2018 16:00:00,12.99
,7/24/2018 16:00:00,13.12
,7/25/2018 16:00:00,13.11
,7/26/2018 16:00:00,13.15
,7/27/2018 16:00:00,13.06
,7/30/2018 16:00:00,13.16
,7/31/2018 16:00:00,13.63
,8/1/2018 16:00:00,13.24
,8/2/2018 16:00:00,13.17
,8/3/2018 16:00:00,13.14
,8/6/2018 16:00:00,13.1
,8/7/2018 16:00:00,13.16
,8/8/2018 16:00:00,13.05
,8/9/2018 16:00:00,12.94
,8/10/2018 16:00:00,12.77
,8/13/2018 16:00:00,12.45
,8/14/2018 16:00:00,12.35
,8/15/2018 16:00:00,12.22
,8/16/2018 16:00:00,12.3
,8/17/2018 16:00:00,12.3
,8/20/2018 16:00:00,12.3
,8/21/2018 16:00:00,12.63
,8/22/2018 16:00:00,12.47
,8/23/2018 16:00:00,12.54
,8/24/2018 16:00:00,12.5
,8/27/2018 16:00:00,12.77
,8/28/2018 16:00:00,12.76
,8/29/2018 16:00:00,12.97
,8/30/2018 16:00:00,12.77
,8/31/2018 16:00:00,12.94
,9/4/2018 16:00:00,12.67
,9/5/2018 16:00:00,12.56
,9/6/2018 16:00:00,12.51
,9/7/2018 16:00:00,12.4
,9/10/2018 16:00:00,12.51
,9/11/2018 16:00:00,12.33
,9/12/2018 16:00:00,12.61
,9/13/2018 16:00:00,12.71
,9/14/2018 16:00:00,12.68
,9/17/2018 16:00:00,12.7
,9/18/2018 16:00:00,12.66
,9/19/2018 16:00:00,12.86
,9/20/2018 16:00:00,12.46
,9/21/2018 16:00:00,12.17
,9/24/2018 16:00:00,11.74
,9/25/2018 16:00:00,11.27
,9/26/2018 16:00:00,11.39
,9/27/2018 16:00:00,11.53
,9/28/2018 16:00:00,11.29
,10/1/2018 16:00:00,12.09
,10/2/2018 16:00:00,12.32
,10/3/2018 16:00:00,12.48
,10/4/2018 16:00:00,12.66
,10/5/2018 16:00:00,13.18
,10/8/2018 16:00:00,13.61
,10/9/2018 16:00:00,13.55
,10/10/2018 16:00:00,13.28
,10/11/2018 16:00:00,12.72
,10/12/2018 16:00:00,12.32
,10/15/2018 16:00:00,12.15
,10/16/2018 16:00:00,12.1
,10/17/2018 16:00:00,12.19
,10/18/2018 16:00:00,12.38
,10/19/2018 16:00:00,12.56
,10/22/2018 16:00:00,12.38
,10/23/2018 16:00:00,12.69
,10/24/2018 16:00:00,12.17
,10/25/2018 16:00:00,11.8
,10/26/2018 16:00:00,11.3
,10/29/2018 16:00:00,11.16
,10/30/2018 16:00:00,10.18
,10/31/2018 16:00:00,10.1
,11/1/2018 16:00:00,9.58
,11/2/2018 16:00:00,9.29
,11/5/2018 16:00:00,9.28
,11/6/2018 16:00:00,9.42
,11/7/2018 16:00:00,9.2
,11/8/2018 16:00:00,9.1
,11/9/2018 16:00:00,8.58
,11/12/2018 16:00:00,7.99
,11/13/2018 16:00:00,8.61
,11/14/2018 16:00:00,8.32
,11/15/2018 16:00:00,8.17
,11/16/2018 16:00:00,8.02
,11/19/2018 16:00:00,7.84
,11/20/2018 16:00:00,7.65
,11/21/2018 16:00:00,7.81
,11/23/2018 13:00:00,7.57
,11/26/2018 16:00:00,7.58
,11/27/2018 16:00:00,7.44
,11/28/2018 16:00:00,7.74
,11/29/2018 16:00:00,7.94
,11/30/2018 16:00:00,7.5
,12/3/2018 16:00:00,7.81
,12/4/2018 16:00:00,7.28
,12/6/2018 16:00:00,7.35
,12/7/2018 16:00:00,7.01
,12/10/2018 16:00:00,6.93
,12/11/2018 16:00:00,6.76
,12/12/2018 16:00:00,6.71
,12/13/2018 16:00:00,7.2
,12/14/2018 16:00:00,7.1
,12/17/2018 16:00:00,7.15
,12/18/2018 16:00:00,7.28
,12/19/2018 16:00:00,7.66
,12/20/2018 16:00:00,7.44
,12/21/2018 16:00:00,7.15
,12/24/2018 13:00:00,6.92
,12/26/2018 16:00:00,7.39
,12/27/2018 16:00:00,7.27
,12/28/2018 16:00:00,7.51
,12/31/2018 16:00:00,7.57
,1/2/2019 16:00:00,8.05
,1/3/2019 16:00:00,8.06
,1/4/2019 16:00:00,8.23
,1/7/2019 16:00:00,8.74
,1/8/2019 16:00:00,8.56
,1/9/2019 16:00:00,8.5
,1/10/2019 16:00:00,8.94
,1/11/2019 16:00:00,8.94
,1/14/2019 16:00:00,8.9
,1/15/2019 16:00:00,8.73
,1/16/2019 16:00:00,8.98
,1/17/2019 16:00:00,9.14
,1/18/2019 16:00:00,9.06
,1/22/2019 16:00:00,8.66
,1/23/2019 16:00:00,8.73
,1/24/2019 16:00:00,8.78
,1/25/2019 16:00:00,9.16
,1/28/2019 16:00:00,8.93
,1/29/2019 16:00:00,8.9
,1/30/2019 16:00:00,9.1
,1/31/2019 16:00:00,10.16
,2/1/2019 16:00:00,10.19
,2/4/2019 16:00:00,10.21
,2/5/2019 16:00:00,10.63
,2/6/2019 16:00:00,10.47
,2/7/2019 16:00:00,10.06
,2/8/2019 16:00:00,9.81
,2/11/2019 16:00:00,10.03
,2/12/2019 16:00:00,9.98
,2/13/2019 16:00:00,10.37
,2/14/2019 16:00:00,10.04
,2/15/2019 16:00:00,10.09
,2/19/2019 16:00:00,10.13
,2/20/2019 16:00:00,10.1
,2/21/2019 16:00:00,10.03
,2/22/2019 16:00:00,10.17
,2/25/2019 16:00:00,10.82
,2/26/2019 16:00:00,10.66
,2/27/2019 16:00:00,10.88
,2/28/2019 16:00:00,10.39
,3/1/2019 16:00:00,10.27
,3/4/2019 16:00:00,10.38
,3/5/2019 16:00:00,9.89
,3/6/2019 16:00:00,9.11
,3/7/2019 16:00:00,9.45
,3/8/2019 16:00:00,9.58
,3/11/2019 16:00:00,9.9
,3/12/2019 16:00:00,9.76
,3/13/2019 16:00:00,10.02
,3/14/2019 16:00:00,10.3
,3/15/2019 16:00:00,9.96
,3/18/2019 16:00:00,10.2
,3/19/2019 16:00:00,10.19
,3/20/2019 16:00:00,10.22
,3/21/2019 16:00:00,10.27
,3/22/2019 16:00:00,9.98
,3/25/2019 16:00:00,9.88
,3/26/2019 16:00:00,10.1
,3/27/2019 16:00:00,9.96
,3/28/2019 16:00:00,9.89
,3/29/2019 16:00:00,9.99
,4/1/2019 16:00:00,10.1
,4/2/2019 16:00:00,10.24
,4/3/2019 16:00:00,10.1
,4/4/2019 16:00:00,10.03
,4/5/2019 16:00:00,10.01
,4/8/2019 16:00:00,9.49
,4/9/2019 16:00:00,9.22
,4/10/2019 16:00:00,9.16
,4/11/2019 16:00:00,9.12
,4/12/2019 16:00:00,9
,4/15/2019 16:00:00,8.98
,4/16/2019 16:00:00,9.14
,4/17/2019 16:00:00,9.12
,4/18/2019 16:00:00,9.35
,4/22/2019 16:00:00,9.32
,4/23/2019 16:00:00,9.33
,4/24/2019 16:00:00,9.32
,4/25/2019 16:00:00,9.12
,4/26/2019 16:00:00,9.57
,4/29/2019 16:00:00,9.73
,4/30/2019 16:00:00,10.17
,5/1/2019 16:00:00,10.1
,5/2/2019 16:00:00,10.25
,5/3/2019 16:00:00,10.5
,5/6/2019 16:00:00,10.43
,5/7/2019 16:00:00,10.11
,5/8/2019 16:00:00,10.16
,5/9/2019 16:00:00,10.04
,5/10/2019 16:00:00,10.13
,5/13/2019 16:00:00,9.87
,5/14/2019 16:00:00,10.32
,5/15/2019 16:00:00,10.26
,5/16/2019 16:00:00,10.13
,5/17/2019 16:00:00,10
,5/20/2019 16:00:00,9.88
,5/21/2019 16:00:00,9.96
,5/22/2019 16:00:00,9.9
,5/23/2019 16:00:00,9.56
,5/24/2019 16:00:00,9.45
,5/28/2019 16:00:00,9.36
,5/29/2019 16:00:00,9.37
,5/30/2019 16:00:00,9.47
,5/31/2019 16:00:00,9.44
,6/3/2019 16:00:00,9.53
,6/4/2019 16:00:00,10
,6/5/2019 16:00:00,9.89
,6/6/2019 16:00:00,9.92
,6/7/2019 16:00:00,9.98
,6/10/2019 16:00:00,10.05
,6/11/2019 16:00:00,10.12
,6/12/2019 16:00:00,10.28
,6/13/2019 16:00:00,10.31
,6/14/2019 16:00:00,10.23
,6/17/2019 16:00:00,10.05
,6/18/2019 16:00:00,10.42
,6/19/2019 16:00:00,10.34
,6/20/2019 16:00:00,10.63
,6/21/2019 16:00:00,10.48
,6/24/2019 16:00:00,10.28
,6/25/2019 16:00:00,10.22
,6/26/2019 16:00:00,10.27
,6/27/2019 16:00:00,10.4
,6/28/2019 16:00:00,10.5
,7/1/2019 16:00:00,10.63
,7/2/2019 16:00:00,10.62
,7/3/2019 13:00:00,10.61
,7/5/2019 16:00:00,10.5
,7/8/2019 16:00:00,10.2
,7/9/2019 16:00:00,10.25
,7/10/2019 16:00:00,10.2
,7/11/2019 16:00:00,10.11
,7/12/2019 16:00:00,10.37
,7/15/2019 16:00:00,10.27
,7/16/2019 16:00:00,10.38
,7/17/2019 16:00:00,9.98
,7/18/2019 16:00:00,10.06
,7/19/2019 16:00:00,10.04
,7/22/2019 16:00:00,10.21
,7/23/2019 16:00:00,10.65
,7/24/2019 16:00:00,10.68
,7/25/2019 16:00:00,10.43
,7/26/2019 16:00:00,10.51
,7/29/2019 16:00:00,10.38
,7/30/2019 16:00:00,10.52
,7/31/2019 16:00:00,10.45
,8/1/2019 16:00:00,10.08
,8/2/2019 16:00:00,10
,8/5/2019 16:00:00,9.66
,8/6/2019 16:00:00,9.57
,8/7/2019 16:00:00,9.46
,8/8/2019 16:00:00,9.49
,8/9/2019 16:00:00,9.15
,8/12/2019 16:00:00,9.05
,8/13/2019 16:00:00,9.35
,8/14/2019 16:00:00,9.03
,8/15/2019 16:00:00,8.01
,8/16/2019 16:00:00,8.79
,8/19/2019 16:00:00,8.67
,8/20/2019 16:00:00,8.38
,8/21/2019 16:00:00,8.16
,8/22/2019 16:00:00,8.19
,8/23/2019 16:00:00,7.97
,8/26/2019 16:00:00,8.05
,8/27/2019 16:00:00,7.93
,8/28/2019 16:00:00,7.94
,8/29/2019 16:00:00,8.11
,8/30/2019 16:00:00,8.25
,9/3/2019 16:00:00,8.33
,9/4/2019 16:00:00,8.8
,9/5/2019 16:00:00,8.81
,9/6/2019 16:00:00,8.71
,9/9/2019 16:00:00,8.96
,9/10/2019 16:00:00,9.14
,9/11/2019 16:00:00,9.36
,9/12/2019 16:00:00,9.26
,9/13/2019 16:00:00,9.34
,9/16/2019 16:00:00,9.38
,9/17/2019 16:00:00,9.36
,9/18/2019 16:00:00,9.38
,9/19/2019 16:00:00,9.42
,9/20/2019 16:00:00,9.37
,9/23/2019 16:00:00,9.34
,9/24/2019 16:00:00,8.97
,9/25/2019 16:00:00,9.16
,9/26/2019 16:00:00,9.02
,9/27/2019 16:00:00,9.04
,9/30/2019 16:00:00,8.94
,10/1/2019 16:00:00,8.61
,10/2/2019 16:00:00,8.51
,10/3/2019 16:00:00,8.71
,10/4/2019 16:00:00,8.57
,10/7/2019 16:00:00,8.56
,10/8/2019 16:00:00,8.28
,10/9/2019 16:00:00,8.35
,10/10/2019 16:00:00,8.45
,10/11/2019 16:00:00,8.8
,10/14/2019 16:00:00,8.72
,10/15/2019 16:00:00,8.89
,10/16/2019 16:00:00,8.9
,10/17/2019 16:00:00,9.04
,10/18/2019 16:00:00,8.96
,10/21/2019 16:00:00,8.79
,10/22/2019 16:00:00,9.06
,10/23/2019 16:00:00,9.14
,10/24/2019 16:00:00,8.95
,10/25/2019 16:00:00,9
,10/28/2019 16:00:00,9.07
,10/29/2019 16:00:00,9.07
,10/30/2019 16:00:00,10.11
,10/31/2019 16:00:00,9.98
,11/1/2019 16:00:00,10.38
,11/4/2019 16:00:00,10.93
,11/5/2019 16:00:00,10.97
,11/6/2019 16:00:00,11.02
,11/7/2019 16:00:00,11.29
,11/8/2019 16:00:00,11.52
,11/11/2019 16:00:00,11.35
,11/12/2019 16:00:00,11.42
,11/13/2019 16:00:00,11.29
,11/14/2019 16:00:00,11.29
,11/15/2019 16:00:00,11.52
,11/18/2019 16:00:00,11.44
,11/19/2019 16:00:00,11.5
,11/20/2019 16:00:00,11.39
,11/21/2019 16:00:00,11.53
,11/22/2019 16:00:00,11.55
,11/25/2019 16:00:00,11.58
,11/26/2019 16:00:00,11.35
,11/27/2019 16:00:00,11.29
,11/29/2019 13:00:00,11.27
,12/2/2019 16:00:00,11.16
,12/3/2019 16:00:00,10.99
,12/4/2019 16:00:00,10.9
,12/5/2019 16:00:00,10.79
,12/6/2019 16:00:00,11.1
,12/9/2019 16:00:00,10.99
,12/10/2019 16:00:00,11.01
,12/11/2019 16:00:00,10.97
,12/12/2019 16:00:00,11.44
,12/13/2019 16:00:00,11.34
,12/16/2019 16:00:00,11.17
,12/17/2019 16:00:00,11.1
,12/18/2019 16:00:00,10.96
,12/19/2019 16:00:00,11.04
,12/20/2019 16:00:00,11.03
,12/23/2019 16:00:00,11.16
,12/24/2019 13:00:00,11.19
,12/26/2019 16:00:00,11.23
,12/27/2019 16:00:00,11.18
,12/30/2019 16:00:00,11.08
